Load Factor: 0.2
Open Hash, Quadratic, Double Hash
0.024721, 0.434281, 0.353011, 
0.025606, 0.573943, 0.309877, 
0.02452, 0.682502, 0.325792, 
0.025824, 0.523587, 0.322795, 
0.020403, 0.509058, 0.323777, 

Load Factor: 0.3
Open Hash, Quadratic, Double Hash
0.033982, 0.542722, 0.32043, 
0.034004, 0.541551, 0.316958, 
0.03427, 0.619208, 0.32762, 
0.033269, 0.512932, 0.333843, 
0.033265, 0.52018, 0.340377, 

Load Factor: 0.4
Open Hash, Quadratic, Double Hash
0.04228, 0.445699, 0.328122, 
0.037771, 0.47542, 0.324595, 
0.043263, 0.518254, 0.335392, 
0.037357, 0.433877, 0.34582, 
0.039065, 0.452038, 0.348916, 

Load Factor: 0.5
Open Hash, Quadratic, Double Hash
0.063286, 0.578851, 0.359671, 
0.057528, 0.577308, 0.348771, 
0.062587, 0.658377, 0.353519, 
0.056831, 0.557517, 0.372124, 
0.057707, 0.550191, 0.380124, 

Load Factor: 0.6
Open Hash, Quadratic, Double Hash
0.079006, 0.657952, 0.366434, 
0.063947, 0.512082, 0.411063, 
0.076726, 0.579152, 0.385904, 
0.062587, 0.467492, 0.38783, 
0.062409, 0.477634, 0.368005, 

Load Factor: 0.7
Open Hash, Quadratic, Double Hash
0.080301, 0.493139, 0.373558, 
0.075212, 0.498043, 0.364292, 
0.075686, 0.557147, 0.397358, 
0.093738, 0.583886, 0.402928, 
0.093146, 0.59851, 0.420023, 

Load Factor: 0.8
Open Hash, Quadratic, Double Hash
0.111606, 0.608661, 0.410676, 
0.113688, 0.651796, 0.415955, 
0.108433, 0.71249, 0.420736, 
0.108527, 0.599111, 0.4348, 
0.123702, 0.641562, 0.425213, 

Load Factor: 0.9
Open Hash, Quadratic, Double Hash
0.128488, 0.652504, 0.445982, 
0.127155, 0.671612, 0.44203, 
0.127278, 0.737912, 0.456407, 
0.126944, 0.641639, 0.472578, 
0.125555, 0.656884, 0.470663, 




Averages
Open Hash
0.0242148, 0.033758, 0.0399472, 0.0595878, 0.068935, 0.0836166, 0.113191, 0.127084, 
Quadratic
0.544674, 0.547319, 0.465058, 0.584449, 0.538862, 0.546145, 0.642724, 0.67211, 
Double Hash
0.32705, 0.327846, 0.336569, 0.362842, 0.383847, 0.391632, 0.421476, 0.457532, 
